State,zip,PRICE
MD,21866,130000
MD,21869,334725
MD,21871,460088
MD,21874,550000
MD,21875,281763
MD,21901,463939
MD,21903,335769
MD,21904,136533
MD,21911,469715
MD,21912,931633
MD,21913,309900
MD,21914,669950
MD,21915,408100
MD,21917,268267
MD,21918,239900
MD,21919,271900
MD,21921,366855
NC,23873,1399000
NC,27006,754933
NC,27012,239495
NC,27013,346648
NC,27014,160000
NC,27018,399000
NC,27020,179900
NC,27028,250512
NC,27030,750000
NC,27040,339808
NC,27050,399900
NC,27054,589967
NC,27055,898250
NC,27101,1940000
NC,27104,535000
NC,27105,155500
NC,27106,599950
NC,27127,260617
NC,27203,429500
NC,27205,646400
NC,27207,448475
NC,27209,196000
NC,27215,343572
NC,27217,374082
NC,27229,245000
NC,27231,296950
NC,27233,406000
NC,27239,512450
NC,27242,770000
NC,27243,1710000
NC,27244,838333
NC,27249,485800
NC,27252,303167
NC,27253,332419
NC,27258,290000
NC,27262,114900
NC,27265,350447
NC,27278,513435
NC,27281,550000
NC,27282,375750
NC,27283,646300
NC,27284,314515
NC,27288,187450
NC,27291,688000
NC,27292,383665
NC,27295,400050
NC,27298,2475000
NC,27299,238725
NC,27302,427689
NC,27306,450172
NC,27310,1735000
NC,27312,743740
NC,27316,193250
NC,27320,545000
NC,27330,537560
NC,27332,415982
NC,27340,855000
NC,27343,1603250
NC,27344,267958
NC,27349,341980
NC,27355,154500
NC,27356,99500
NC,27357,499780
NC,27358,654930
NC,27360,151267
NC,27371,367156
NC,27376,346330
NC,27377,507203
NC,27379,301333
NC,27403,699000
NC,27405,140000
NC,27406,435000
NC,27407,165000
NC,27409,528020
NC,27410,464867
NC,27501,465967
NC,27502,572179
NC,27503,491580
NC,27504,277209
NC,27505,388751
NC,27507,854950
NC,27509,209500
NC,27510,517450
NC,27511,648571
NC,27513,536939
NC,27514,852667
NC,27516,694580
NC,27517,987281
NC,27518,694438
NC,27519,677794
NC,27520,407438
NC,27521,298066
NC,27522,300133
NC,27523,1301223
NC,27524,449552
NC,27525,405027
NC,27526,477689
NC,27527,413968
NC,27529,415241
NC,27536,135620
NC,27537,351527
NC,27539,590050
NC,27540,596119
NC,27541,269900
NC,27542,273039
NC,27544,281633
NC,27545,601277
NC,27546,357550
NC,27549,358256
NC,27557,317450
NC,27559,585670
NC,27560,656326
NC,27562,637216
NC,27565,323544
NC,27568,232450
NC,27569,355548
NC,27571,468900
NC,27572,467766
NC,27573,266162
NC,27574,353323
NC,27576,346325
NC,27577,348825
NC,27583,336580
NC,27587,624427
NC,27591,449036
NC,27592,436861
NC,27593,294901
NC,27596,509634
NC,27597,461189
NC,27601,626921
NC,27603,540995
NC,27604,391910
NC,27605,469367
NC,27606,537486
NC,27607,1022583
NC,27608,1400345
NC,27609,1175473
NC,27610,364887
NC,27612,899513
NC,27613,750550
NC,27614,1180304
NC,27615,776969
NC,27616,391425
NC,27617,499585
NC,27620,269900
NC,27701,789058
NC,27703,449496
NC,27704,343484
NC,27705,525478
NC,27707,539955
NC,27712,460529
NC,27713,488314
NC,27816,529000
NC,28001,319392
NC,28007,1480000
NC,28009,182000
NC,28012,437846
NC,28016,242899
NC,28018,363833
NC,28020,349900
NC,28021,492850
NC,28023,394164
NC,28025,430199
NC,28027,420072
NC,28031,1014233
NC,28032,229300
NC,28033,259950
NC,28034,321145
NC,28036,841262
NC,28037,687385
NC,28040,241280
NC,28043,316842
NC,28052,244054
NC,28054,234854
NC,28056,383665
NC,28071,232450
NC,28073,433500
NC,28075,454494
NC,28076,486929
NC,28078,635706
NC,28079,516073
NC,28080,556506
NC,28081,340488
NC,28083,266373
NC,28086,439601
NC,28088,306200
NC,28090,328917
NC,28091,304000
NC,28092,308168
NC,28097,357242
NC,28101,507000
NC,28103,355474
NC,28104,837519
NC,28105,489944
NC,28107,441000
NC,28110,477422
NC,28112,373488
NC,28114,270814
NC,28115,438918
NC,28117,870812
NC,28119,133800
